                                    Name     ID    state     time(us)             time(ms)
                                     REG      0        1    170699313      31132.5000
                                 LAMP_SW      0        0    170763805      31196.9920
                                 LAMP_SW      0        1    170863434      31296.6210
                                 LAMP_SW      0        0    170963138      31396.3250
                                 LAMP_SW      0        1    171062768      31495.9550
                                 LAMP_SW      0        0    171162471      31595.6580
                                FuserOut      7        0    171498381      31931.5680
                                FuserOut      7        1    171690576      32123.7630
                      MainTray_PaperFeed      3        0    171800954      32234.1410
                      MainTray_PaperFeed      3        1    171800975      32234.1620
                      MainTray_PaperFeed      3        0    171800987      32234.1740
                                    EXIT      1        0    171878954      32312.1410
                                    EXIT      1        1    172109701      32542.8880
                                  Deskew      6        0    172195399      32628.5860
                                     REG      0        0    172454902      32888.0890
                                FuserOut      7        0    173510403      33943.5900
                                 LAMP_SW      0        1    173554469      33987.6560
                           EXIT_MOTOR_EN     10        0    173634240      34067.4270
                                 LAMP_SW      0        0    173654172      34087.3590
                          EXIT_MOTOR_DIR     18        0    173662432      34095.6190
                           EXIT_MOTOR_EN     10        1    173662704      34095.8910
                                 LAMP_SW      0        1    173753816      34187.0030
                                 LAMP_SW      0        0    173853512      34286.6990
                                 LAMP_SW      0        1    173953152      34386.3390
                                  Duplex     10        1    175007768      35440.9550
                                    EXIT      1        0    175295461      35728.6480
                                  Deskew      6        1    175864855      36298.0420
                           EXIT_MOTOR_EN     10        0    175888735      36321.9220
                          EXIT_MOTOR_DIR     18        1    175916926      36350.1130
                           DESKEW_CLUTCH     14        0    175918230      36351.4170
                           DESKEW_CLUTCH     14        1    175958098      36391.2850
                                     REG      0        1    176147562      36580.7490
                                  Duplex     10        0    176774640      37207.8270
                                 LAMP_SW      0        0    177042878      37476.0650
                                FuserOut      7        1    177127634      37560.8210
                          EXIT_MOTOR_DIR     18        1    177133723      37566.9100
                           EXIT_MOTOR_EN     10        1    177134003      37567.1900
                                 LAMP_SW      0        1    177142518      37575.7050
                                 LAMP_SW      0        0    177242220      37675.4070
                                 LAMP_SW      0        1    177341851      37775.0380
                                 LAMP_SW      0        0    177441548      37874.7350
                                    EXIT      1        1    177546354      37979.5410
                                  Deskew      6        0    177627225      38060.4120
                                     REG      0        0    177889101      38322.2880
                                FuserOut      7        0    178942838      39376.0250
                    MANUAL_PICKUP_CLUTCH     22        1    179035849      39469.0360
                                    EXIT      1        0    179321384      39754.5710
                           EXIT_MOTOR_EN     10        0    179567230      40000.4170
                           DESKEW_CLUTCH     14        0    179569127      40002.3140
                                HV_TRANS      5        0    180594250      41027.4370
                             HV_TRANSREV      6        1    180595238      41028.4250
                                  HV_CHG      1        0    180743973      41177.1600
                                  HV_DEV      2        0    181022858      41456.0450
                           MAIN_MOTOR_EN      8        0    181023793      41456.9800
                       MOTOR_CURRENT_LOW     16        1    181023800      41456.9870
                              HV_DEV_REV      3        0    181620836      42054.0230
                             HV_TRANSREV      6        0    181621820      42055.0070
                      IR_SENSOR_POWER_EN     17        0    184556795      44989.9820
                                  HV_DEV      2        0    184568952      45002.1390
                              HV_DEV_REV      3        0    184569116      45002.3030
                                  HV_CHG      1        0    184569501      45002.6880
                                HV_TRANS      5        0    184569655      45002.8420
                             HV_TRANSREV      6        0    184569817      45003.0040
